CI_ID,CI_Start_Year,CI_End_Year,c_oavoid_2021
BOL1001,2019,2099,34154.88831540642
BOL1055,2017,2022,419.7767051770255
BOL1068,2020,2099,1227.8616735333053
BOL1069,2021,2099,699534.7286120823
BOL1070,2021,2099,1226.55643455268
BOL1071,2016,2099,8195.774710372265
BOL1073,2021,2099,-27499.303129742235
BRA1001,2018,2099,-4821.45469216389
BRA1002,2018,2099,-3274.9071556877084
BRA1003,2018,2099,-2971.729834454205
BRA1004,2018,2099,16315.232301016498
BRA1005,2018,2099,-3142.867143596097
BRA1006,2018,2099,-5777.8307552790075
BRA1007,2018,2099,-16799.179956975
BRA1008,2018,2099,-5883.322376454772
BRA1009,2018,2099,106.41090500719201
BRA1010,2018,2099,-3466.108087566562
BRA1011,2018,2099,5899.813664094229
BRA1012,2018,2099,364813.86508283776
BRA1013,2018,2099,-5809.4752830864445
BRA1014,2018,2099,-25366.386814868994
BRA1016,2018,2099,-26010.938830437473
BRA1017,2018,2099,35168.327408692465
BRA1018,2011,2099,123383.31303974171
BRA1019,2020,2099,-11266.201017122046
BRA1020,2020,2099,-2279.2285245702146
BRA1021,2020,2099,-527.625545139463
BRA1022,2018,2099,30420.693237803804
BRA1023,2018,2099,680275.6230461183
BRA1024,2018,2099,-2902.899789015796
BRA1025,2018,2099,-26259.074215599474
BRA1026,2018,2099,16543.357389449335
BRA1027,2018,2099,2453.295217152354
BRA1028,2018,2099,46205.80743959847
BRA1029,2018,2099,-1721.6715285243831
BRA1030,2018,2099,12395.914506018404
BRA1031,2018,2099,-2235.52541527831
BRA1032,2018,2099,103779.94572887426
BRA1034,2018,2099,3067.0203461523524
BRA1035,2018,2099,141.8671620450685
BRA1036,2018,2099,-4119.700520503669
BRA1037,2018,2099,-1233.7348585691846
BRA1038,2018,2099,-8679.15184456791
BRA1039,2018,2099,331915.42292883946
BRA1040,2018,2099,-239.14098600719342
BRA1041,2018,2099,1194.845894509194
BRA1042,2018,2099,-7205.284255827541
BRA1043,2018,2099,-558.9461286565977
BRA1044,2018,2099,121382.11579706002
BRA1045,2018,2099,0
BRA1048,2018,2099,-915.0128050473705
BRA1052,2018,2099,0
BRA1053,2018,2099,0
BRA1054,2018,2099,2699.507542553195
BRA1055,2018,2099,859.4613262294619
BRA1056,2018,2099,59202.71362623098
BRA1059,2015,2099,-164.44193899844754
BRA1060,2015,2099,-1967.278655388076
BRA1061,2000,2099,208.63974258234708
BRA1062,2009,2099,179.09835732048964
BRA1063,2016,2099,-1321.9904903134272
BRA1064,2006,2099,-478.56697291984403
BRA1067,2011,2099,-149280.88113698614
BRA1068,2011,2099,-46288.48298660197
BRA1070,2011,2099,-34893.760373483114
BRA1071,2015,2099,235.0214369287787
BRA1072,2015,2099,0
BRA1073,2015,2099,-5645.329590996662
BRA1075,2015,2099,2540.879980675907
BRA1076,2017,2099,-429.01551020408164
BRA1077,2017,2099,4160.539896584895
BRA1078,2017,2099,-1181.6012311547047
BRA1080,2017,2099,0
BRA1081,2017,2099,47446.817947400246
BRA1082,2017,2099,202499.476883322
BRA1083,2017,2099,-4177.508571428573
BRA1090,2017,2099,-98.88683928571427
BRA1091,2018,2099,495477.0909133222
BRA1103,2016,2099,-8647.444335568098
BRA1104,2016,2099,7379.387414087033
BRA1109,2016,2099,1042.8977930326732
BRA1110,2016,2099,-39.62336967529245
BRA1111,2016,2099,28.67659465020595
BRA1112,2016,2099,659.6987219506483
BRA1114,2016,2099,-453.371724157391
BRA1117,2016,2099,-3285.6968102416286
CHN1003,2015,2099,-270.5805895133146
CHN1008,2019,2099,3353.577811208763
COL1002,2019,2099,247.00500938845207
COL1003,2019,2099,81.29044225073199
COL1004,2019,2099,2.9554198296120404
COL1005,2013,2099,14272.156451612866
COL1007,2018,2099,-86.82171428571411
COL1009,2013,2099,868.518881800642
COL1010,2018,2099,2690.134606617794
COL1076,2016,2099,211.88188284833808
COL1080,2016,2099,0
COL1082,2016,2099,202.7453186813171
CRI1001,2018,2099,84.01080701754367
CRI1006,2011,2099,-607.9537877500521
CRI1009,2019,2099,0
CRI1010,2018,2099,-87.19849753569552
CRI1012,2009,2099,-2016.1906606178413
ECU1014,2018,2099,-121.85503759398503
ECU1015,2008,2099,0
ECU1017,2016,2099,0
ECU1021,2018,2099,218.2522262299717
ECU1022,2016,2099,-119.92927031509186
ECU1023,2006,2099,-146.63485000000003
ECU1024,2018,2099,-3015.413635143725
ECU1025,2019,2099,-753.7836923400962
ECU1027,2006,2099,0
ECU1029,2016,2099,0
ECU1042,2008,2099,0
ECU1050,2020,2099,-229.4432540175074
ECU1051,2020,2099,-4458.102688447195
ECU1054,2021,2099,90.24510582010595
ECU1055,2021,2099,38.401024774700616
GUY1018,2020,2099,-1075.4696524523604
GUY1020,2020,2099,1598.9274904913177
GUY1021,2020,2099,0
GUY1022,2020,2099,0
GUY1023,2020,2099,0
GUY1024,2020,2099,0
IDN1002,2008,2099,-127.31563636363656
IDN1006,2019,2099,-2109.238675318864
IDN1008,2019,2099,-503.37681172294043
IDN1009,2019,2099,455.51787028373974
IDN1010,2019,2099,113.73610907157945
IDN1012,2019,2099,-1778.634353289473
IDN1016,2019,2099,144.87761904761956
IDN1017,2019,2099,418.21579999337354
IDN1018,2019,2099,-77.08701246803145
IDN1019,2019,2099,0
IDN1021,2019,2099,-3402.169686694279
IDN1024,2019,2099,-425.20351317068327
IDN1025,2019,2099,654.4833333333347
IDN1031,2016,2099,-7579.4243605520915
IDN1065,2020,2099,-278.02182193275104
IDN1069,2020,2099,-3153.99862028334
IDN1070,2020,2099,-24889.4898945345
IDN1077,2016,2099,3050.2575189481267
IDN1078,2016,2099,-19090.191425925983
IDN1079,2016,2099,0
IDN1128,2021,2099,-11500.947400541554
IDN1130,2021,2099,0
IDN1131,2021,2099,716.7488662791526
IDN1132,2021,2099,38206.71285531464
KEN1003,2021,2099,0
KEN1005,2021,2099,0
KEN1006,2014,2099,-1428.9317396002434
KHM1010,2007,2099,-7252.7952638471015
KHM1012,2012,2099,104.43984279609302
KHM1013,2017,2099,36.79458179012355
KHM1014,2012,2099,57.48336956521742
KHM1015,2017,2099,37.6961580935776
KHM1016,2017,2099,1.9589087833156533
KHM1017,2017,2099,-28.544444444444345
KHM1018,2017,2099,-6.964905707103198
KHM1019,2017,2099,-100.00066752578218
KHM1020,2012,2099,42.39141269841274
KHM1027,2014,2099,0
KHM1028,2014,2099,0
KHM1029,2014,2099,-82.07454545454546
KHM1031,2019,2099,10.777394366197173
KHM1032,2019,2099,-31.441012263179154
KHM1034,2019,2099,-1335.54642264217
KHM1035,2019,2099,-961.8005859966742
KHM1036,2019,2099,1924.7132483282849
KHM1037,2019,2099,3519.770424018173
KHM1038,2019,2099,-656.2183495380834
KHM1039,2019,2099,-3204.2320457061574
KHM1040,2019,2099,-1357.1435855386715
KHM1041,2019,2099,-124.51028302028044
KHM1042,2019,2099,-1917.3632918052185
KHM1043,2019,2099,147.12489574176743
KHM1044,2019,2099,1131.1620872728363
KHM1045,2019,2099,7465.057555546051
KHM1046,2019,2099,-3815.9971245584397
KHM1047,2019,2099,814.2025561897726
KHM1048,2019,2099,1885.9709887004647
KHM1049,2019,2099,-1336.9656280663867
KHM1050,2019,2099,-2170.0079167720423
KHM1051,2019,2099,40.58144763411656
KHM1052,2019,2099,4469.76705182169
KHM1053,2019,2099,-1399.7389143520231
KHM1054,2019,2099,-1833.1735948715555
KHM1055,2019,2099,945.763952980645
KHM1056,2019,2099,2533.318147453404
KHM1057,2019,2099,-215.06402566442932
KHM1058,2019,2099,-4644.040182166052
KHM1059,2019,2099,511.50607459777825
KHM1060,2019,2099,341.7354776811035
KHM1061,2019,2099,-2880.7351337176824
KHM1062,2019,2099,618.4996414013505
KHM1063,2019,2099,-1302.283881425031
KHM1064,2019,2099,-932.5744519558839
KHM1065,2019,2099,505.44346415986433
KHM1066,2019,2099,-2317.4514195763436
KHM1067,2019,2099,9361.734575240616
KHM1068,2019,2099,-1342.804631535564
KHM1069,2019,2099,-287.37278420264187
KHM1070,2019,2099,-516.1540231427113
KHM1071,2019,2099,-556.8771680783232
KHM1072,2019,2099,-385.3807233376454
KHM1073,2019,2099,4294.998065300906
KHM1074,2019,2099,-4539.834683121125
KHM1075,2019,2099,-3561.03942934222
KHM1077,2019,2099,-2538.774587939411
KHM1078,2019,2099,-2707.9382519679866
KHM1079,2019,2099,-2839.0441843957224
KHM1080,2019,2099,823.1026647787339
KHM1081,2020,2099,-1361.4039065287675
KHM1096,2020,2099,-3738.054078978741
KHM1102,2020,2099,-5333.035919232148
KHM1103,2020,2099,-3542.6736227722868
KHM1105,2020,2099,-2075.605012755102
KHM1107,2020,2099,11105.497537976047
KHM1108,2020,2099,2026.1054226246415
KHM1109,2020,2099,2048.314129036186
KHM1110,2020,2099,-377.9910949849527
KHM1111,2020,2099,-12905.768851629748
KHM1112,2020,2099,145.3319409588147
KHM1113,2020,2099,-361.12460129489057
KHM1114,2020,2099,-3151.082797950414
KHM1115,2020,2099,-12157.272473016215
KHM1116,2001,2099,-28999.824918232065
KHM1117,2018,2099,-33393.429424746486
KHM1129,2020,2099,16.16609154929576
KHM1130,2020,2099,-27.467556792504965
LBR1001,2014,2099,-1107.2914285714278
MDG1012,2003,2099,58032.72961737907
MDG1013,2004,2099,10505.020747400304
MDG1019,2015,2099,-5.564355821442291
MDG1029,2015,2099,0
MDG1034,2015,2099,587.4435026824846
MDG1035,2015,2099,618.7045764981523
MDG1047,2015,2099,-3767.3629411764746
MDG1058,2015,2099,0
MDG1059,2013,2099,1371.268155167276
MDG1060,2013,2099,898.2970385513415
MDG1068,2013,2099,-595.1883194678887
MDG1073,2019,2099,6166.4774712316685
MDG1074,2019,2099,-6391.037565021568
MDG1075,2019,2099,-214014.41651876405
MDG1076,2019,2099,51459.69527395482
MDG1106,2010,2099,2.2819927734990415
MDG1180,2021,2099,-581.2484212699114
MDG1181,2021,2099,3631.181691844076
MDG1183,2021,2099,6419.542046377475
MDG1206,2021,2099,-9081.537333333348
MDG1214,2021,2099,-227.4621248124896
MDG1222,2021,2099,0
MDG1223,2021,2099,1454.7955670103086
MDG1228,2021,2099,12211.441122848202
MDG1231,2021,2099,2206.045128737004
MDG1232,2021,2099,1651.9534538013095
MDG1233,2021,2099,-2406.3948333055378
MDG1235,2021,2099,-369.0478488291707
MDG1236,2021,2099,-262.7264595202536
MDG1238,2021,2099,1032.6376559698954
MDG1262,2021,2099,-14335.647266855007
MEX1001,2019,2022,617.6652788479279
MEX1002,2019,2022,-956.1471297523849
MEX1003,2019,2022,-994.2748937991319
MEX1004,2019,2022,-4252.261865091278
MEX1006,2019,2022,573.7102222825783
MEX1008,2018,2022,2490.237419200327
MEX1010,2018,2022,-149.49677345844415
MEX1011,2018,2022,-286.21007987104997
MEX1013,2018,2022,-1374.5872566269554
MEX1014,2018,2022,6193.930223891961
MEX1015,2019,2022,1056.922121122027
MEX1016,2019,2022,-49.859539099520134
MEX1017,2019,2022,448.92269844795027
MEX1018,2019,2022,-279.55373661348807
MEX1020,2020,2099,-37054.98425890664
MEX1021,2020,2099,4027.963125866998
MEX1022,2017,2021,-11433.995581639356
MEX1023,2018,2022,-2273.008805799247
MEX1024,2019,2022,-279.55373661348807
MEX1025,2018,2022,-2273.008805799247
MEX1026,2018,2099,335.79346552475874
MEX1029,2018,2099,-119.57900994985611
MEX1031,2018,2099,193.11138836660348
MEX1035,2018,2099,-125.79683369558367
MEX1039,2018,2099,124.62158595828589
MEX1040,2018,2099,0
MEX1041,2018,2099,-175.5156073534253
MEX1045,2018,2099,-1287.3669176470596
MEX1046,2018,2099,-273.1009148726477
MEX1047,2018,2099,-2322.2280496087706
PAN1002,2011,2099,852.1831884399814
PER1001,2011,2099,1601.1571234842213
PER1004,2012,2099,-55.938805129987486
PER1005,2012,2099,651.7161051869498
PER1007,2015,2099,3775.792151725026
PER1009,2016,2099,693.4508069207641
PER1012,2021,2099,6605.473903950695
PER1013,2021,2099,1662.0917179255148
PER1014,2021,2099,2253.03507145182
PHL1094,2007,2099,-302.71413028406994
PHL1095,2003,2099,22168.705900793666
PHL1096,2017,2021,-928.4954225769525
PHL1103,2016,2099,-1865.3198571120163
PHL1104,2016,2099,519.1762386522206
PHL1106,2016,2099,-1209.067425925262
PHL1109,2016,2099,1549.3398699511692
PHL1110,2016,2099,-2797.730835268755
PHL1111,2016,2099,2134.566707515776
PHL1112,2016,2099,2404.5311936235894
PHL1113,2016,2099,-1345.5788555587046
PHL1114,2016,2099,404.31353260475043
PHL1115,2016,2099,-5465.04811466709
SUR1001,2015,2099,0
SUR1003,2020,2099,-41724.514744150634
TLS1001,2018,2099,-996.3459656294867
TLS1003,2018,2099,-712.953996344032
TLS1004,2018,2099,-818.0510823002212
TLS1006,2018,2099,-844.6251777435418
TLS1038,2019,2099,-57.04456521739109
TLS1040,2013,2099,-89.27530341075567
TLS1041,2019,2099,-60.68845454545442
TLS1050,2018,2099,-2251.9253228962466
TLS1059,2018,2099,-739.4342533389315
TLS1060,2018,2099,-29.9717695236479
TLS1061,2018,2099,70.46543249042747
TLS1062,2018,2099,-117.46968035220664
TLS1064,2018,2099,-1651.704205618394
